,epoch,step,loss,time
0,1,3750,1.6283259676933288,19.982336282730103
1,2,3750,1.5459919389724732,21.79152274131775
2,3,3750,1.5275184204101562,22.00953221321106
3,4,3750,1.5150320700009663,21.15095329284668
4,5,3750,1.5061157441457114,20.38926100730896
5,6,3750,1.5001334413210552,20.399780750274658
6,7,3750,1.4952439748764037,21.933167457580566
7,8,3750,1.4926587502161661,22.274143934249878
8,9,3750,1.4888808602968853,20.852522373199463
9,10,3750,1.4866405542055765,22.108355283737183
10,11,3750,1.484398818620046,20.786444664001465
11,12,3750,1.4830301304181417,21.084150075912476
12,13,3750,1.4822974583307902,22.75683045387268
13,14,3750,1.480610449441274,22.21713614463806
14,15,3750,1.4792725997924805,23.860750913619995
