,model,learning_rate,num_epoch,batch_size,accuracy,precision,recall,f1_score,loss
0,SimpleNN,0.0001,2,16,92.74,0.9284168582811991,0.9274,0.9273286868647188,1.5540919176419576
1,SimpleNN,0.0001,2,32,92.37,0.924116798240981,0.9237,0.92353874930758,1.563182123819987
2,SimpleNN,0.0001,2,64,91.99,0.920140658883534,0.9199,0.9195680994169572,1.5736616968091872
3,SimpleNN,0.0001,2,128,91.38,0.9136849005576294,0.9138,0.9134941118966231,1.5938485815072618
4,SimpleNN,0.0001,5,16,95.04,0.9513762982925938,0.9504,0.950462386086924,1.5160292826652526
5,SimpleNN,0.0001,5,32,94.43,0.9447813372388119,0.9443,0.9442084025448652,1.526910337638855
6,SimpleNN,0.0001,5,64,93.67,0.9369638290295507,0.9367,0.936621623338078,1.5367001067600778
7,SimpleNN,0.0001,5,128,84.34,0.7751947180800365,0.8434,0.8029841825367428,1.625832557424045
8,SimpleNN,0.0001,10,16,96.96,0.9697276004696521,0.9696,0.9696031493362736,1.4915313337008158
9,SimpleNN,0.0001,10,32,96.32,0.9635334021337905,0.9632,0.9631984053846009,1.4997314673105875
10,SimpleNN,0.0001,10,64,95.46,0.9547900700728058,0.9546,0.9545111220654146,1.510520208364865
11,SimpleNN,0.0001,10,128,94.51,0.9453433424397741,0.9451,0.9450348945723499,1.5228752055401995
12,SimpleNN,0.0001,15,16,97.43,0.97456470832206,0.9743,0.9743136111260777,1.4817892976125082
13,SimpleNN,0.0001,15,32,97.22,0.9723486198839981,0.9722,0.9721884134135038,1.4880185202916463
14,SimpleNN,0.0001,15,64,96.47,0.9647204112432483,0.9647,0.964666394361827,1.497456340901633
15,SimpleNN,0.0001,15,128,95.59,0.9560281581830339,0.9559,0.9558515363358472,1.5088523867796224
16,SimpleNN,0.001,2,16,93.26,0.9359782124316167,0.9326,0.9326938607942297,1.5330378774960836
17,SimpleNN,0.001,2,32,93.51,0.9378877021721466,0.9351,0.935070081579643,1.5285967772801716
18,SimpleNN,0.001,2,64,94.42,0.9460506092204498,0.9442,0.9442771687317947,1.5320751381072917
19,SimpleNN,0.001,2,128,94.26,0.9430739631456793,0.9426,0.9425583626453923,1.5413830628527252
20,SimpleNN,0.001,5,16,95.05,0.9518291140542229,0.9505,0.9504787873007728,1.5092517734209696
21,SimpleNN,0.001,5,32,96.24,0.9628843800381239,0.9624,0.9624424156972913,1.503134611638387
22,SimpleNN,0.001,5,64,95.52,0.9567158112514605,0.9552,0.9552919995975002,1.5012452771414573
23,SimpleNN,0.001,5,128,95.6,0.9568892055803601,0.956,0.9558922473488978,1.5024705718575255
24,SimpleNN,0.001,10,16,96.53,0.9657040453737078,0.9653,0.9653171290842764,1.499928811041514
25,SimpleNN,0.001,10,32,96.71,0.9673957234845527,0.9671,0.9670712121786195,1.4929523436228433
26,SimpleNN,0.001,10,64,95.9,0.9611508254085193,0.959,0.9592083385939939,1.4878702729241426
27,SimpleNN,0.001,10,128,97.11,0.9715313239154737,0.9711,0.9710878488117609,1.4871167407106998
28,SimpleNN,0.001,15,16,95.79,0.9587093173149639,0.9579,0.957871520067378,1.4974048961957296
29,SimpleNN,0.001,15,32,96.2,0.9633119307058657,0.962,0.9620462519377757,1.4869963182449342
30,SimpleNN,0.001,15,64,97.15,0.97167603416686,0.9715,0.9714877273455752,1.4835996442257977
31,SimpleNN,0.001,15,128,97.26,0.9728609863838817,0.9726,0.9725728461649844,1.4801501322910984
32,SimpleNN,0.01,2,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
33,SimpleNN,0.01,2,32,10.1,0.010201,0.101,0.018530426884650317,2.3589675512949624
34,SimpleNN,0.01,2,64,10.09,0.01018081,0.1009,0.01849543101099101,2.3620204208756306
35,SimpleNN,0.01,2,128,9.8,0.009604000000000001,0.098,0.017493624772313296,2.3624202076560143
36,SimpleNN,0.01,5,16,10.1,0.010201,0.101,0.018530426884650317,2.3589673128763833
37,SimpleNN,0.01,5,32,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625175512949625
38,SimpleNN,0.01,5,64,10.28,0.01056784,0.1028,0.019165469713456656,2.3567565616005774
39,SimpleNN,0.01,5,128,19.92,0.04018754073881578,0.1992,0.06683863960208324,2.2611317598997656
40,SimpleNN,0.01,10,16,11.35,0.01288225,0.1135,0.023138302649304,2.3487839795430503
41,SimpleNN,0.01,10,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342179616294
42,SimpleNN,0.01,10,64,10.09,0.01018081,0.1009,0.01849543101099101,2.3620204208756306
43,SimpleNN,0.01,10,128,9.8,0.009604000000000001,0.098,0.017493624772313296,2.362442417693799
44,SimpleNN,0.01,15,16,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625173128763834
45,SimpleNN,0.01,15,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342179616294
46,SimpleNN,0.01,15,64,10.09,0.01018081,0.1009,0.01849543101099101,2.3620037630931146
47,SimpleNN,0.01,15,128,18.53,0.04629058148784503,0.1853,0.07126975631999821,2.2857816478590975
48,SimpleNN,0.1,2,16,10.32,0.01065024,0.1032,0.019307904278462656,2.361850646209717
49,SimpleNN,0.1,2,32,10.28,0.01056784,0.1028,0.019165469713456656,2.356734217961629
50,SimpleNN,0.1,2,64,10.32,0.01065024,0.1032,0.019307904278462656,2.3618371852679547
51,SimpleNN,0.1,2,128,9.74,0.00948676,0.0974,0.017289520685256063,2.363658435817466
52,SimpleNN,0.1,5,16,9.74,0.00948676,0.0974,0.017289520685256063,2.3636339795430503
53,SimpleNN,0.1,5,32,9.82,0.00964324,0.0982,0.01756190129302495,2.363784217961629
54,SimpleNN,0.1,5,64,10.32,0.01065024,0.1032,0.019307904278462656,2.3618538430504707
55,SimpleNN,0.1,5,128,10.28,0.01056784,0.1028,0.019165469713456656,2.356762113855846
56,SimpleNN,0.1,10,16,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625173128763834
57,SimpleNN,0.1,10,32,9.8,0.009604000000000001,0.098,0.017493624772313296,2.362434217961629
58,SimpleNN,0.1,10,64,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370849045609106
59,SimpleNN,0.1,10,128,9.8,0.009604000000000001,0.098,0.017493624772313296,2.362409102128767
60,SimpleNN,0.1,15,16,10.1,0.010201,0.101,0.018530426884650317,2.3589673128763833
61,SimpleNN,0.1,15,32,11.35,0.01288225,0.1135,0.023138302649304,2.3487842179616294
62,SimpleNN,0.1,15,64,10.32,0.01065024,0.1032,0.019307904278462656,2.3618371852679547
63,SimpleNN,0.1,15,128,9.8,0.009604000000000001,0.098,0.017493624772313296,2.362464628239939
64,MediumNN,0.0001,2,16,93.42,0.935178457434145,0.9342,0.9341467463660807,1.5450633576075237
65,MediumNN,0.0001,2,32,92.24,0.9248078599984816,0.9224,0.9222304397037587,1.5511850335439046
66,MediumNN,0.0001,2,64,92.17,0.9222147734084462,0.9217,0.9216395032534099,1.5620691725440117
67,MediumNN,0.0001,2,128,84.95,0.7816400641053504,0.8495,0.8122821152329068,1.6358341634400617
68,MediumNN,0.0001,5,16,95.68,0.9578769488423877,0.9568,0.9568356147437753,1.506926903820038
69,MediumNN,0.0001,5,32,94.96,0.9501551978769176,0.9496,0.9494636431440922,1.5178144938786824
70,MediumNN,0.0001,5,64,94.3,0.94327751560491,0.943,0.9429388349017496,1.5276734474371236
71,MediumNN,0.0001,5,128,93.4,0.9342891671163222,0.934,0.9338425020613851,1.5393289121737612
72,MediumNN,0.0001,10,16,97.13,0.9714397006561756,0.9713,0.9712812832218723,1.4868566531499228
73,MediumNN,0.0001,10,32,96.61,0.9664129552912465,0.9661,0.9660752773187063,1.4930219928105672
74,MediumNN,0.0001,10,64,95.91,0.9596593369198027,0.9591,0.959095906861193,1.501244054547251
75,MediumNN,0.0001,10,128,95.4,0.9541189756198594,0.954,0.9539643234091462,1.5115820423626443
76,MediumNN,0.0001,15,16,97.53,0.9754015937649361,0.9753,0.9752790289440046,1.4800719214439393
77,MediumNN,0.0001,15,32,97.39,0.9740484835174491,0.9739,0.9739058239016481,1.4822113128662109
78,MediumNN,0.0001,15,64,97.01,0.9702171010865939,0.9701,0.9700994209562422,1.4877241565220392
79,MediumNN,0.0001,15,128,96.2,0.9621940528652138,0.962,0.9619272697458968,1.4967196107164884
80,MediumNN,0.001,2,16,91.17,0.9174219969624073,0.9117,0.9116600613488793,1.555847317536672
81,MediumNN,0.001,2,32,85.52,0.8783227791268491,0.8552,0.8536818165863508,1.5405388170878092
82,MediumNN,0.001,2,64,93.05,0.9329747663632537,0.9305,0.9302697150305965,1.536205716605888
83,MediumNN,0.001,2,128,94.68,0.9474711933248277,0.9468,0.946640609681695,1.5601926462482543
84,MediumNN,0.001,5,16,89.61,0.9047783286064958,0.8961,0.8957282532351044,1.5549241188049316
85,MediumNN,0.001,5,32,93.19,0.9341418280665601,0.9319,0.9319176903390655,1.5281778223673503
86,MediumNN,0.001,5,64,95.82,0.9585875839254513,0.9582,0.9581576504990955,1.5105209787771392
87,MediumNN,0.001,5,128,95.12,0.953288796062025,0.9512,0.9513481012059729,1.5031798955982427
88,MediumNN,0.001,10,16,93.98,0.9408600893190316,0.9398,0.9398523150581873,1.5488706047058105
89,MediumNN,0.001,10,32,94.61,0.948144549888986,0.9461,0.9462910439150699,1.5161861947377522
90,MediumNN,0.001,10,64,96.18,0.9621774488896463,0.9618,0.9618199766354879,1.500465065558582
91,MediumNN,0.001,10,128,96.44,0.9648700030491969,0.9644,0.9644656767492504,1.4929208724991854
92,MediumNN,0.001,15,16,92.79,0.9336466909529662,0.9279,0.9287750747890161,1.5464882676760356
93,MediumNN,0.001,15,32,95.2,0.9528910623584798,0.952,0.9518760304839458,1.5205171360651653
94,MediumNN,0.001,15,64,96.22,0.9627633415988602,0.9622,0.9622369175244596,1.4953552574745372
95,MediumNN,0.001,15,128,96.94,0.9695650739273699,0.9694,0.9694044918156048,1.4862560882751368
96,MediumNN,0.01,2,16,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625173128763834
97,MediumNN,0.01,2,32,10.32,0.01065024,0.1032,0.019307904278462656,2.361850884628296
98,MediumNN,0.01,2,64,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.3707824144790424
99,MediumNN,0.01,2,128,11.35,0.01288225,0.1135,0.023138302649304,2.3487719310117936
100,MediumNN,0.01,5,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
101,MediumNN,0.01,5,32,11.35,0.01288225,0.1135,0.023138302649304,2.3487842179616294
102,MediumNN,0.01,5,64,11.35,0.01288225,0.1135,0.023138302649304,2.3487441682103856
103,MediumNN,0.01,5,128,10.1,0.010201,0.101,0.018530426884650317,2.358955388892688
104,MediumNN,0.01,10,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
105,MediumNN,0.01,10,32,10.09,0.01018081,0.1009,0.01849543101099101,2.362000884628296
