,epoch,step,loss,time
0,1,1875,0.11790804166487263,19.112393379211426
1,2,1875,0.04071514497361883,18.61213254928589
2,3,1875,0.02913773619794277,18.561336040496826
3,4,1875,0.021161606005823463,18.435593366622925
4,5,1875,0.017237435620649406,18.543638467788696
5,6,1875,0.015304730232057607,18.534218788146973
6,7,1875,0.012448238877018824,18.547132968902588
7,8,1875,0.010759993878250036,18.497257232666016
8,9,1875,0.01295423449053189,18.58050775527954
9,10,1875,0.007572865511049323,18.486023902893066
10,11,1875,0.008399356829748182,18.571792364120483
11,12,1875,0.008613463333193572,19.11086344718933
12,13,1875,0.007430186101881203,18.958844423294067
13,14,1875,0.007642239119228855,19.193310737609863
14,15,1875,0.007807245903536195,19.08751344680786
